user_id,group,device_type,country,session_time,converted,revenue
0,control,mobile,TW,270.0175244274534,0,0.0
1,variant,desktop,JP,321.5369966990925,0,0.0
2,control,mobile,US,317.4913956340044,1,57.850099392836846
3,control,desktop,JP,345.0387565895279,0,0.0
4,control,desktop,TW,271.0435581496562,0,0.0
5,variant,mobile,TW,277.10915152049074,0,0.0
6,control,desktop,TW,339.6068699572735,0,0.0
7,control,desktop,TW,312.6106501681432,0,0.0
8,control,mobile,JP,254.68909369036527,0,0.0
9,variant,mobile,US,365.32770338672503,0,0.0
10,control,mobile,JP,215.07747157998745,0,0.0
11,control,mobile,US,339.2142376631876,0,0.0
12,control,desktop,TW,236.73939820009016,0,0.0
13,control,mobile,US,394.28942582427635,0,0.0
14,variant,mobile,TW,222.77001365471884,0,0.0
15,control,mobile,JP,357.6125325936374,1,55.17932356581848
16,variant,mobile,US,295.9182819994378,0,0.0
17,variant,mobile,JP,281.6698715080628,0,0.0
18,variant,desktop,TW,309.26983282338807,0,0.0
19,control,mobile,JP,331.59501695789066,0,0.0
20,variant,desktop,TW,254.77997488345653,0,0.0
21,control,mobile,TW,259.21061374157136,0,0.0
22,variant,mobile,TW,332.48024325564427,0,0.0
23,variant,mobile,JP,214.63285231752002,0,0.0
24,variant,mobile,JP,270.78854534039573,1,72.47192989096777
25,variant,mobile,US,452.0343477079721,0,0.0
26,variant,mobile,US,251.59935177053595,0,0.0
27,variant,mobile,JP,357.3901395879876,0,0.0
28,variant,mobile,JP,270.7024615643094,0,0.0
29,variant,desktop,JP,325.4522572398572,0,0.0
30,control,mobile,JP,332.71778452981084,0,0.0
31,control,desktop,TW,356.4478367591474,0,0.0
32,variant,mobile,TW,289.9873086593612,0,0.0
33,variant,desktop,TW,399.44423193774264,0,0.0
34,variant,mobile,JP,270.533171770741,0,0.0
35,control,mobile,TW,311.711020679978,0,0.0
36,variant,mobile,TW,312.26384661088036,0,0.0
37,control,desktop,US,243.90159400252924,1,60.14597112183614
38,control,desktop,US,285.70638725104396,0,0.0
39,control,desktop,TW,308.07567496192036,0,0.0
40,control,desktop,TW,278.393947843529,0,0.0
41,control,mobile,TW,422.04619827282676,0,0.0
42,variant,mobile,JP,258.0688163200235,0,0.0
43,variant,mobile,US,358.9712234070214,1,151.78111135258365
44,variant,desktop,US,342.82299065743933,1,74.21821094753788
45,variant,mobile,US,299.30689327478643,0,0.0
46,variant,desktop,TW,256.7395473073876,0,0.0
47,control,desktop,JP,261.5872339804115,0,0.0
48,variant,desktop,US,274.10163503917454,0,0.0
49,variant,desktop,US,210.71293590268687,0,0.0
50,control,desktop,JP,249.82672871003547,0,0.0
51,variant,mobile,TW,225.87617423181786,0,0.0
52,control,desktop,TW,367.2937501588858,0,0.0
53,variant,desktop,US,330.92311961941095,0,0.0
54,control,mobile,US,339.29870494327304,0,0.0
55,variant,desktop,JP,329.44159757709735,0,0.0
56,variant,desktop,US,308.3483811667082,0,0.0
57,control,mobile,JP,373.0340166064569,1,57.21032570876448
58,control,mobile,US,269.46186721341314,0,0.0
59,control,mobile,US,305.33348276835227,0,0.0
60,control,desktop,US,337.3529413912062,0,0.0
61,control,mobile,TW,233.93953840719354,0,0.0
62,control,mobile,JP,454.82944480712746,0,0.0
63,control,mobile,JP,301.4282881388793,1,104.69997942122839
64,control,desktop,TW,307.09947252877964,0,0.0
65,variant,mobile,TW,362.84390158374606,0,0.0
66,variant,desktop,TW,345.7477666505112,0,0.0
67,control,desktop,JP,301.903900969823,0,0.0
68,variant,mobile,US,306.5064719049021,0,0.0
69,variant,desktop,TW,224.79257345260106,0,0.0
70,variant,desktop,TW,272.1767111075012,0,0.0
71,variant,mobile,TW,325.860510807948,0,0.0
72,control,desktop,US,322.1946419521443,0,0.0
73,variant,mobile,US,361.05828750020436,0,0.0
74,control,desktop,TW,293.97494708883374,0,0.0
75,variant,desktop,US,230.63567432845667,0,0.0
76,variant,mobile,TW,352.8365215387839,0,0.0
77,variant,mobile,US,371.8044673091008,1,110.79184083147814
78,control,desktop,JP,344.91222864281144,0,0.0
79,variant,desktop,JP,291.81831645712543,0,0.0
80,control,mobile,US,352.21930259382896,0,0.0
81,variant,desktop,JP,471.44552390041065,0,0.0
82,control,desktop,JP,305.7576157220238,0,0.0
83,variant,desktop,JP,234.4131653877438,0,0.0
84,control,desktop,TW,270.6857475223924,0,0.0
85,control,mobile,US,331.27380001520254,0,0.0
86,variant,mobile,US,219.75978445509685,0,0.0
87,control,mobile,US,308.47015374560345,0,0.0
88,variant,mobile,JP,319.01683251579414,0,0.0
89,variant,mobile,TW,376.7560869906326,0,0.0
90,variant,mobile,US,365.50974280271504,0,0.0
91,variant,desktop,JP,343.22923958758855,0,0.0
92,variant,mobile,TW,191.86604947427352,0,0.0
93,variant,desktop,TW,346.0526564023963,0,0.0
94,variant,desktop,US,335.2756693030123,0,0.0
95,variant,desktop,US,312.79721885391734,0,0.0
96,variant,mobile,JP,213.48889369272572,1,78.6358624365017
97,variant,desktop,US,261.161304540647,0,0.0
98,variant,mobile,JP,241.65886152329668,0,0.0
99,control,desktop,TW,199.24957802464547,0,0.0
100,control,desktop,TW,299.8542424292603,0,0.0
101,variant,mobile,TW,260.108893927861,0,0.0
102,variant,desktop,TW,431.2652790134456,0,0.0
103,variant,desktop,US,291.5614030281045,0,0.0
104,variant,desktop,US,364.687657793298,0,0.0
105,variant,desktop,JP,221.54504876533878,0,0.0
106,variant,mobile,JP,273.4955206997565,0,0.0
107,variant,desktop,JP,304.8448938017157,0,0.0
108,variant,desktop,JP,254.5923025696165,0,0.0
109,control,mobile,JP,278.8899657597628,1,93.80312412323885
110,variant,desktop,TW,289.10245468782307,1,96.60089650616658
111,control,desktop,TW,288.30460072775526,0,0.0
112,variant,desktop,TW,392.7559286517673,0,0.0
113,variant,desktop,JP,318.9113142715755,0,0.0
114,control,mobile,TW,323.9755281470652,0,0.0
115,variant,desktop,TW,326.98273871725354,0,0.0
116,control,mobile,TW,330.6313188668556,0,0.0
117,variant,desktop,TW,295.85565080625673,0,0.0
118,variant,desktop,US,283.9626814260577,0,0.0
119,control,desktop,JP,308.34080297591385,0,0.0
120,variant,mobile,JP,357.84019744567365,1,56.824745878997724
121,control,desktop,US,356.31190942181917,1,141.05952551163966
122,variant,desktop,TW,287.98007621557946,0,0.0
123,control,mobile,TW,338.39218473340554,0,0.0
124,control,mobile,TW,290.2707668480166,0,0.0
125,variant,mobile,JP,301.6935274717622,1,133.22528509179364
126,variant,mobile,JP,276.32383092229014,0,0.0
127,control,desktop,JP,290.91774305468834,0,0.0
128,variant,desktop,JP,367.066503477484,0,0.0
129,variant,desktop,JP,304.6210573669618,0,0.0
130,variant,desktop,US,306.7641254276159,0,0.0
131,control,mobile,JP,227.63911103710208,1,152.64473339547328
132,control,desktop,TW,284.5378046183635,0,0.0
133,control,desktop,JP,287.9342548127636,0,0.0
134,control,desktop,US,258.5428257278297,0,0.0
135,control,desktop,TW,301.0832705851782,0,0.0
136,control,mobile,US,278.5408854886173,0,0.0
137,control,desktop,TW,303.9997927621791,0,0.0
138,control,desktop,JP,306.0751504909467,0,0.0
139,control,desktop,US,252.21228210886778,0,0.0
140,variant,mobile,TW,280.06491087584055,0,0.0
141,control,mobile,JP,303.8687141380417,0,0.0
142,variant,desktop,TW,359.2149715578363,0,0.0
143,variant,desktop,US,312.835958639787,0,0.0
144,variant,desktop,US,266.90324100412863,0,0.0
145,control,mobile,US,319.9502379621926,0,0.0
146,control,desktop,US,385.37744446608804,0,0.0
147,control,desktop,JP,345.83532362945095,0,0.0
148,control,desktop,TW,327.376326521781,0,0.0
149,variant,mobile,JP,336.2795087741161,0,0.0
150,control,desktop,US,371.99770207143155,0,0.0
151,control,desktop,TW,353.781339700883,0,0.0
152,control,mobile,US,328.3380190558829,0,0.0
153,control,mobile,JP,353.4321109795043,0,0.0
154,control,desktop,JP,245.91744518679695,0,0.0
155,variant,mobile,JP,224.88673738298593,0,0.0
156,control,desktop,TW,307.8549325321915,0,0.0
157,variant,mobile,TW,303.4340354825269,0,0.0
158,control,mobile,US,272.80449732433715,0,0.0
159,variant,desktop,TW,341.29263349138546,1,89.92722068060338
160,control,desktop,TW,206.8568206774382,0,0.0
161,control,desktop,JP,273.2613871971098,0,0.0
162,variant,mobile,US,275.75222275611924,0,0.0
163,variant,desktop,JP,218.18491074502703,0,0.0
164,variant,desktop,US,374.7365503634652,1,154.4500542076837
165,control,desktop,US,232.03993656683383,0,0.0
166,variant,desktop,TW,270.5829971346157,0,0.0
